probability_CRITICAL,probability_NORMAL,probability_WARNING
1.56325663815911e-09,8.599540015804303e-22,0.9999999984367434
4.95077198699604e-47,1.0,1.835824685297175e-33
2.626378330375898e-55,1.0,3.3692044621603176e-45
7.697007535929763e-72,1.0,1.1846581190026096e-68
0.9999962370556768,3.6137332628822615e-41,3.7629443232166955e-06
